Funcionalidade;Tipo de variável;Variável;Tipo de valor
Idade;Recurso objetivo;age;int (dias)
Altura;Recurso objetivo;height;int (cm)
Peso;Recurso objetivo;weight;float (kg)
Gênero;Recurso objetivo;gender;código categórico
Pressão arterial sistólica ;Recurso de exame;ap_hi;int
Pressão arterial diastólica ;Recurso de exame;ap_lo;int
Colesterol;Recurso de exame;cholesterol;1: normal, 2: acima do normal, 3: bem acima do normal
Glicose;Recurso de exame;gluc;1: normal, 2: acima do normal, 3: bem acima do normal
Fumar;Recurso subjetivo;smoke;binário
Consumo de álcool ;Recurso subjetivo;alco;binário
Atividade física ;Recurso subjetivo;active;binário
Presença ou ausência de doenças cardiovasculares ;Variável alvo;cardio;binário
